,appid,name,publisher,genres,owners,price,economic_success,total_ratings,rating_ratio,rating,release_year,release_month,local_multi_player,mmo,multi_player,online_co_op,online_multi_player,single_player,action,adventure,casual,indie,massively_multiplayer,rpg,racing,simulation,sports,strategyviolent,type
16960,747340,Unforgiving - A Northern Hymn,Angry Demon Studio,Nudity;Violent;Gore;Action;Adventure;Indie,9.903487552536127,15.5,13.203945207713025,694,0.829971181556196,77.20936042261495,2017,11,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Premium
16976,747920,Hero Plus,Netgame Inc,Free to Play;Massively Multiplayer,9.903487552536127,0.0,0.0,129,0.4883720930232558,43.196152338175,2018,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Free
16978,747970,Scions of Fate,NETGAME Inc,Free to Play;Massively Multiplayer;RPG,9.903487552536127,0.0,0.0,79,0.5316455696202531,46.057250653927404,2018,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,Free
16988,748300,Treasure Hunter Simulator,Movie Games S.A.,Indie;Simulation,9.903487552536127,17.0,13.296318365198623,461,0.6681127982646421,61.54283261241179,2018,12,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Premium
16990,748360,MY HERO ONE'S JUSTICE,BANDAI NAMCO Entertainment,Action,9.903487552536127,69.99,14.711456123394498,1189,0.8368376787216149,78.72036712191388,2018,10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Premium
16991,748370,STAND OUT : VR Battle Royale,raptor lab,Action;Massively Multiplayer;Simulation,10.819778284410283,25.0,14.444119750719839,1163,0.7592433361994841,71.3911096047915,2019,5,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,Premium
16995,748490,The Legend of Heroes: Trails of Cold Steel II,"XSEED Games;Marvelous USA, Inc.",RPG,10.819778284410283,38.0,14.862829903121964,1156,0.9602076124567474,90.27721765793709,2018,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Premium
17012,748940,Rise of Legions,Crunchy Leaf Games,Casual;Free to Play;Strategy,12.206072645530174,0.0,0.0,1102,0.8166969147005445,76.7137698873099,2019,8,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,Free
17025,749250,7th Sector,Носков Сергей,Adventure;Indie,9.903487552536127,13.5,13.065795142315812,339,0.8230088495575221,75.18345139229233,2019,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Premium
17041,749780,DEAD DOZEN Escape,Fntastic,Action;Indie;Massively Multiplayer,9.903487552536127,10.5,12.814481318719762,554,0.4314079422382672,39.92162627000736,2018,6,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,Premium
17055,750050,Diesel Brothers: Truck Building Simulator,Code Horizon;PlayWay S.A.,Simulation,9.903487552536127,19.5,13.433519271241643,688,0.6351744186046512,59.07651231724114,2019,5,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,Premium
17110,751590,Dinosaurs A Prehistoric Adventure,Arcupion Art,Action;Adventure;Free to Play;Indie;RPG,10.819778284410283,0.0,0.0,170,0.4235294117647059,37.848356346184865,2017,12,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,Free
17115,751690,The Mammoth: A Cave Painting,inbetweengames,Action;Adventure;Casual;Indie,9.903487552536127,0.0,0.0,603,0.9021558872305141,83.65298690769343,2017,11,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,Free
17118,751780,Forager,Humble Bundle,Action;Adventure;Indie;Simulation,12.206072645530174,19.5,15.736103045555433,12003,0.9397650587353161,91.19685780217378,2019,4,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,Premium
17140,752500,Ghoulboy - Dark Sword of Goblin,Serkan Bakar,Action;Adventure;Casual;Indie,9.903487552536127,8.25,12.573320004015606,140,0.6785714285714286,60.208468806695215,2017,11,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,Premium
17144,752590,A Plague Tale: Innocence,Focus Home Interactive,Action;Adventure,12.206072645530174,52.0,16.716932206992077,11617,0.9524834294568305,92.40322055224073,2019,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Premium
17159,753060,Lucky Night VR,ATC Games,Casual;Free to Play;Early Access,9.903487552536127,0.0,0.0,25,0.64,51.99946639255687,2017,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Free
17166,753230,STAY,PQube Limited,Adventure;Indie,10.819778284410283,12.5,13.7509731034928,385,0.7116883116883117,65.2447708407739,2018,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Premium
